iter	RMSE
795	0.1208830422
796	0.1208708739
797	0.1208395483
798	0.1207917926
799	0.1207493497
800	0.1207127994
801	0.1206814536
802	0.1206353372
803	0.1205787305
804	0.1205309185
805	0.1204987864
806	0.120455232
807	0.1204082104
808	0.1203727911
809	0.1203524528
810	0.1203108069
811	0.1202751464
812	0.1202351484
813	0.1201993253
814	0.1201546174
815	0.1201247386
816	0.1200869145
817	0.1200537345
818	0.1200173072
819	0.1200063349
820	0.1199880826
821	0.1199358019
822	0.11988935
823	0.1198549658
824	0.1198268945
825	0.1198044818
826	0.1197811818
827	0.1197420177
828	0.1196957561
829	0.1196597177
830	0.1196076984
831	0.119573133
832	0.1195303046
833	0.1194663593
834	0.1194275935
835	0.11940996
836	0.1193792683
837	0.1193593272
838	0.1193290187
839	0.1193010195
840	0.1192569573
841	0.1192370776
842	0.1192045096
843	0.119168938
844	0.1191473043
845	0.1190973528
846	0.1190485242
847	0.1190118794
848	0.1189809829
849	0.1189499841
850	0.1189127391
851	0.1188540827
852	0.1188207593
853	0.1188057666
854	0.1187842134
855	0.1187329776
856	0.1186761837
857	0.1186541179
858	0.1186158127
859	0.1185771803
860	0.1185526547
861	0.1185142552
862	0.1184855216
863	0.1184581346
864	0.1184293507
865	0.1183831912
866	0.1183426666
867	0.1183159352
868	0.1182852803
869	0.118268371
870	0.1182368254
871	0.1182157026
872	0.1181845782
873	0.1181439121
874	0.1181177997
875	0.1180925732
876	0.1180409932
877	0.1180272651
878	0.1180069993
879	0.1179590765
880	0.1179178039
881	0.1178938918
882	0.117845753
883	0.1178064853
884	0.1177790589
885	0.1177401994
886	0.1177036421
887	0.1176866215
888	0.1176665637
889	0.1176250829
890	0.1175586456
891	0.1175224692
892	0.1174913863
893	0.1174569808
894	0.1174512566
895	0.1174177967
896	0.1173761264
897	0.1173511301
898	0.1173231749
899	0.1172880853
900	0.1172432215
901	0.1172216315
902	0.1171966428
903	0.1171568128
904	0.1171000918
905	0.1170515156
906	0.1170184252
907	0.1169769067
908	0.1169712225
909	0.1169103329
910	0.1168805613
911	0.1168520029
912	0.1168016225
913	0.1167774975
914	0.1167444763
915	0.1167119829
916	0.1166799842
917	0.1166358129
918	0.1166058752
919	0.1165777942
920	0.1165383212
921	0.1165067164
922	0.1164723158
923	0.1164274839
924	0.1163947164
925	0.1163740344
926	0.1163582337
927	0.116330903
928	0.1163281035
929	0.1162679871
930	0.1162487429
931	0.1162275885
932	0.1161964619
933	0.1161775568
934	0.1161516347
935	0.1161229064
936	0.1160968564
937	0.1160794956
938	0.1160647334
939	0.1160368607
940	0.1159901739
941	0.1159769215
942	0.1159339509
943	0.1158876082
944	0.115844309
945	0.1158146709
946	0.1157838422
947	0.115753477
948	0.1157266611
949	0.1157102389
950	0.1156678327
951	0.1156246696
952	0.1155758926
953	0.1155432047
954	0.1155337513
955	0.1154987244
956	0.1154788166
957	0.1154543475
958	0.1154112988
959	0.1153710365
960	0.1153384151
961	0.1153153974
962	0.1153106036
963	0.1153034901
964	0.1152818897
965	0.1152642541
966	0.1152274492
967	0.1151985382
968	0.1151544898
969	0.115121088
970	0.1150873484
971	0.1150478098
972	0.1149948111
973	0.1149613849
974	0.114922898
975	0.114890472
976	0.1148716603
977	0.114844596
978	0.114816799
979	0.1147870338
980	0.1147458149
981	0.1147199948
982	0.114673076
983	0.1146546344
984	0.1146408984
985	0.1146189251
986	0.1145601369
987	0.1145398498
988	0.1145123953
989	0.1144745934
990	0.1144314052
991	0.1144146527
992	0.1143881374
993	0.1143398373
994	0.114303281
995	0.1142619694
996	0.1142313255
997	0.1142053103
998	0.1141655517
999	0.1141244525
